#Parameters = {C_p=3e-13; C_p_add=7e-14; L_s=7e-10; R_s=4.8}
#"Frequency / GHz"	"Total RCS [pw]_(C_p=1.08e-12) [Magnitude]"
#-------------------------------------------------------------
7.4348697394790	91.597997301412
7.4428857715431	91.975393793490
7.4509018036072	92.310829885375
7.4589178356713	92.657557918747
7.4669338677355	92.990984494493
7.4749498997996	93.329188972839
7.4829659318637	93.683325327015
7.4909819639279	94.015439355626
7.4989979959920	94.325507757463
7.5070140280561	94.626845132332
7.5150300601202	94.934545112485
7.5230460921844	95.225897420984
7.5310621242485	95.557832964991
7.5390781563126	95.837517391530
7.5470941883768	96.138375035396
7.5551102204409	96.381576580953
7.5631262525050	96.660764094147
7.5711422845691	96.923623688394
7.5791583166333	97.198447117586
7.5871743486974	97.470727833919
7.5951903807615	97.720969517920
7.6032064128257	97.943910527026
7.6112224448898	98.178467859378
7.6192384769539	98.419545670222
7.6272545090180	98.651911089884
7.6352705410822	98.902965538246
7.6432865731463	99.110145229173
