iter	Passed	Remaining
553	12879	10368
554	12905	10347
555	12932	10327
556	12960	10307
557	12985	10286
558	13011	10264
559	13034	10241
560	13066	10224
561	13091	10202
562	13119	10182
563	13143	10160
564	13163	10135
565	13186	10110
566	13208	10086
567	13229	10062
568	13251	10037
569	13271	10012
570	13292	9987
571	13313	9962
572	13335	9937
573	13357	9913
574	13379	9889
575	13402	9865
576	13425	9841
577	13446	9817
578	13468	9793
579	13490	9769
580	13513	9745
581	13534	9720
582	13556	9696
583	13587	9678
584	13614	9658
585	13643	9639
586	13670	9618
587	13696	9597
588	13729	9580
589	13756	9559
590	13782	9538
591	13811	9518
592	13837	9497
593	13862	9475
594	13885	9451
595	13907	9427
596	13930	9403
597	13951	9378
598	13974	9355
599	13996	9330
600	14018	9306
601	14039	9282
602	14062	9258
603	14084	9234
604	14106	9209
605	14129	9186
606	14151	9162
607	14175	9139
608	14213	9125
609	14237	9102
610	14258	9077
611	14279	9053
612	14301	9028
613	14323	9004
614	14344	8979
615	14365	8955
616	14388	8931
617	14411	8907
618	14433	8884
619	14455	8859
620	14477	8835
621	14499	8811
622	14520	8786
623	14541	8762
624	14563	8738
625	14594	8719
626	14615	8694
627	14637	8670
628	14659	8646
629	14689	8627
630	14713	8604
631	14735	8579
632	14758	8556
633	14785	8535
634	14829	8524
635	14857	8503
636	14885	8482
637	14921	8466
638	14948	8445
639	14978	8425
640	14999	8400
641	15019	8375
642	15040	8350
643	15061	8325
644	15082	8300
645	15103	8276
646	15130	8255
647	15152	8230
648	15174	8206
649	15195	8182
650	15218	8158
651	15239	8134
652	15260	8109
653	15282	8085
654	15303	8060
655	15325	8036
656	15347	8012
657	15371	7989
658	15394	7965
659	15416	7941
660	15439	7918
661	15462	7894
662	15483	7870
663	15507	7847
664	15536	7826
665	15596	7821
666	15653	7814
667	15675	7791
668	15731	7783
669	15755	7760
670	15875	7783
671	15929	7774
672	16013	7780
673	16035	7756
674	16060	7732
675	16085	7709
676	16107	7684
677	16129	7660
678	16151	7635
679	16176	7612
680	16197	7587
681	16219	7562
682	16241	7538
683	16262	7513
684	16283	7488
685	16304	7463
686	16326	7438
687	16348	7413
688	16369	7389
689	16390	7364
690	16412	7339
691	16433	7314
692	16455	7289
693	16477	7265
694	16500	7241
695	16521	7216
696	16541	7191
697	16564	7166
698	16589	7143
699	16611	7119
700	16633	7094
701	16655	7070
702	16678	7046
703	16700	7021
704	16722	6997
705	16743	6972
706	16765	6948
707	16786	6923
708	16807	6898
709	16830	6874
710	16852	6850
711	16873	6825
712	16895	6800
713	16917	6776
714	16939	6752
715	16961	6727
716	16983	6703
717	17006	6679
718	17028	6654
719	17049	6630
720	17072	6606
721	17094	6581
722	17116	6557
723	17138	6533
724	17163	6510
725	17187	6486
726	17209	6462
727	17235	6439
728	17265	6418
729	17286	6393
730	17308	6369
731	17330	6344
732	17352	6320
733	17373	6296
734	17394	6271
735	17416	6247
736	17438	6222
737	17460	6198
738	17480	6173
739	17503	6149
740	17525	6125
741	17549	6102
742	17579	6080
743	17602	6056
744	17624	6032
745	17645	6008
746	17667	5983
747	17688	5959
748	17710	5935
749	17733	5911
750	17755	5886
751	17776	5862
752	17798	5838
753	17822	5814
754	17845	5790
755	17877	5769
756	17905	5747
757	17931	5724
758	17959	5702
759	17984	5679
760	18016	5658
761	18044	5635
762	18067	5612
763	18089	5587
764	18110	5563
765	18132	5539
766	18155	5515
767	18176	5490
768	18203	5468
769	18237	5447
770	18264	5424
771	18290	5401
772	18316	5378
773	18342	5355
774	18379	5335
775	18411	5314
776	18432	5290
777	18453	5265
778	18473	5240
779	18494	5216
780	18516	5192
781	18537	5167
782	18573	5147
783	18595	5123
784	18616	5098
785	18640	5075
786	18661	5050
787	18683	5026
788	18704	5002
789	18726	4977
790	18747	4953
791	18769	4929
792	18791	4905
793	18812	4880
794	18834	4856
795	18855	4832
796	18876	4807
797	18897	4783
798	18919	4759
799	18941	4735
800	18961	4710
801	18983	4686
802	19005	4662
803	19027	4638
804	19049	4614
805	19071	4590
806	19097	4567
807	19128	4545
808	19161	4523
809	19187	4500
810	19217	4478
811	19243	4455
812	19270	4432
813	19291	4408
814	19313	4384
815	19335	4359
816	19356	4335
817	19378	4311
818	19400	4287
819	19422	4263
820	19444	4239
821	19466	4215
822	19488	4191
823	19511	4167
824	19533	4143
825	19557	4119
826	19581	4096
827	19602	4071
828	19624	4047
829	19645	4023
830	19666	3999
831	19688	3975
832	19711	3951
833	19735	3928
834	19771	3906
835	19802	3884
836	19833	3862
837	19865	3840
838	19893	3817
839	19921	3794
840	19944	3770
841	19966	3746
842	19988	3722
843	20009	3698
844	20030	3674
845	20052	3650
846	20073	3626
847	20095	3601
848	20117	3577
849	20139	3554
850	20161	3530
851	20183	3506
852	20206	3482
853	20228	3458
854	20254	3435
855	20281	3411
856	20304	3388
857	20328	3364
858	20352	3340
859	20383	3318
860	20408	3294
861	20432	3271
862	20465	3248
863	20489	3225
864	20514	3201
865	20536	3177
866	20557	3153
867	20581	3129
868	20602	3105
869	20624	3081
870	20645	3057
871	20665	3033
872	20687	3009
873	20708	2985
874	20730	2961
875	20752	2937
876	20775	2913
877	20796	2889
878	20819	2865
879	20849	2843
880	20873	2819
881	20894	2795
882	20916	2771
